OBJECTID,Park Name,Address,City,Zip Code,Status,Suffix,Acres,created_date,Shape__Area,Shape__Length
37,New Almaden,,,,closed/land bank,Property,1.44802141,09/13/2024 12:47:15 AM +0000,63075.8125,1349.9581503014974
36,Tulare Hill,,San Jose,,closed/land bank,Property,140.81812656,09/13/2024 12:47:15 AM +0000,6134036.1275749207,10975.660751630008
20,Los Gatos Creek,1250 Dell Ave.,Campbell,95008,open,County Park,110.6662679,09/13/2024 12:47:15 AM +0000,4820622.6298828125,18467.044263938951
34,Sanborn Road,,,,closed/land bank,Property,2.44009531,09/13/2024 12:47:15 AM +0000,106290.5517578125,1468.3471265494065
12,Mt. Madonna,7850 Pole Line Rd.,Watsonville,95076,open,County Park,4594.78945672,09/13/2024 12:47:15 AM +0000,200149151.70703125,144249.29047866512
33,Summit Road,,,,closed/land bank,Property,10.93944736,09/13/2024 12:47:15 AM +0000,476522.3271484375,3178.7874853072785
21,Metcalf Motorcycle,300 Metcalf Rd.,San Jose,95138,open,County Park,445.78354951,09/13/2024 12:47:15 AM +0000,19418331.4140625,24163.716259850848
10,Chitactac-Adams,10001 Watsonville Rd.,Gilroy,95020,open,Heritage County Park,5.23522854,09/13/2024 12:47:15 AM +0000,228046.6630859375,2913.9531119536941
7,Penitencia Creek,Maybury & Jackson Ave.,San Jose,95112,open,County Park,163.86330145,09/13/2024 12:47:15 AM +0000,7137885.4111328125,46506.010597239445
32,Moody Gulch,,,,closed/land bank,Property,159.91924942,09/13/2024 12:47:15 AM +0000,6966082.5,20030.795445084277
23,Santa Teresa,260 Bernal Rd.,San Jose,95119,open,County Park,1652.25512469,09/13/2024 12:47:15 AM +0000,71972233.25,53674.068612635048
22,Rancho San Antonio,22500 Cristo Rey Drive,Cupertino,95014,open,County Park,289.4386061,09/13/2024 12:47:15 AM +0000,12607945.681640625,40499.287511561968
29,Calero,23201 McKean Rd.,San Jose,95120,open,County Park,4646.89397214,09/13/2024 12:47:15 AM +0000,202418698.19433594,144609.97552856791
30,Martial Cottle,5283 Snell Ave.,San Jose,95136,open,Park,282.31448877,09/13/2024 12:47:15 AM +0000,12297619.133789063,16830.543971716397
3,Villa Montalvo,15400 Montalvo Rd.,Saratoga,95070,open,,136.17886008,09/13/2024 12:47:15 AM +0000,5931951.396484375,12689.523331156648
18,Anderson Lake,19245 Malaguerra Ave.,Morgan Hill,95037,open,County Park,3572.98012482,09/13/2024 12:47:15 AM +0000,155639014.23730469,152315.9803267633
16,Uvas Reservoir,14200 Uvas Rd.,Morgan Hill,95037,open,County Park,1017.41861347,09/13/2024 12:47:15 AM +0000,44318754.802734375,44171.216119188291
27,Hellyer,985 Hellyer Ave.,San Jose,95111,open,County Park,178.20052489,09/13/2024 12:47:15 AM +0000,7762414.8642578125,20310.15998823088
14,Upper Stevens Creek,Skyline Blvd.,Palo Alto,94034,open,County Park,1280.37316803,09/13/2024 12:47:15 AM +0000,55773055.19921875,46407.695222210845
35,Church and New,Church Avenue,Gilroy,95020,closed/land bank,Property,9.12313875,09/13/2024 12:47:15 AM +0000,397403.923828125,2608.9085904716394
6,Ed R. Levin,3100 Calaveras Rd.,Milpitas,95035-5439,open,County Park,2112.2231507,09/13/2024 12:47:15 AM +0000,92008440.42578125,98543.35125133695
5,Almaden Quicksilver,21785 Almaden Rd.,San Jose,95120,open,County Park,4163.43363375,09/13/2024 12:47:15 AM +0000,181359169.0859375,103217.74618349598
2,Stuart Ridge,14681 Bohlman Rd.,Saratoga,95070,closed/land bank,Property,265.77595662,09/13/2024 12:47:15 AM +0000,11577200.681640625,26606.788457093859
31,Sunnyvale Baylands,,,,open,County Park,223.16283247,09/13/2024 12:47:15 AM +0000,9720972.9430503845,13192.896910123311
1,Sanborn,16055 Sanborn Rd.,Saratoga,95070,open,County Park,3430.34038043,09/13/2024 12:47:15 AM +0000,149425729.96191406,128192.29774729031
17,Alviso Marina,1195 Hope,San Jose,95111,open,County Park,20.56499587,09/13/2024 12:47:15 AM +0000,895811.220703125,5342.836966690702
25,Coyote Creek Parkway,,,,open,,1837.36100586,09/13/2024 12:47:15 AM +0000,80035425.598632813,183456.76586472368
4,Joseph D. Grant,18405 Mt. Hamilton Rd.,San Jose,95140,open,County Park,10882.14861126,09/13/2024 12:47:15 AM +0000,474026393.72070313,225247.40186528658
9,Chesbro Reservoir,17655 Oak Glen Rd.,Morgan Hill,95037,open,County Park,204.08281636,09/13/2024 12:47:15 AM +0000,8889847.5107421875,24231.385913315
442,Redwood Ridge,,,,closed/land bank,Property,185.68493637,09/13/2024 12:47:15 AM +0000,8088435.828125,12651.578391012632
8,Vasona,333 Blossom Hill Rd.,Los Gatos,95032,open,County Park,152.26272987,09/13/2024 12:47:15 AM +0000,6632564.6201171875,13586.626786121202
19,Field Sports,9580 Malech Rd.,San Jose,95013,open,County Park,108.48189972,09/13/2024 12:47:15 AM +0000,4725471.5537109375,8765.3009202634275
24,Lexington Reservoir,17770 Alma Bridge Rd.,Los Gatos,95032,open,County Park,950.49325746,09/13/2024 12:47:15 AM +0000,41403486.294921875,101010.03010589429
445,Richmond Ranch,San Felipe Road,San Jose,95138,closed/land bank,Property,1567.58143836,09/13/2024 12:47:15 AM +0000,68283847.458984375,41223.196489433212
13,Stevens Creek,11401 Stevens Canyon Rd.,Cupertino,95014,open,County Park,1063.30235323,09/13/2024 12:47:15 AM +0000,46317476.668945313,88104.7317732108
15,Uvas Canyon,8515 Croy Rd.,Morgan Hill,95037,open,County Park,1147.31557106,09/13/2024 12:47:15 AM +0000,49977066.275390625,46267.47801845408
11,Coyote Lake-Harvey Bear Ranch,10840 Coyote Reservoir Rd.,Gilroy,95020,open,County Park,8006.72045586,09/13/2024 12:47:15 AM +0000,348772743.05722809,184437.84484940011
